subparam,value1,value2,unit1,unit2,modelname,modelid,specifications.topparam
Cylinders,6,6,,,815F Series 2,113386,Engine
Net Power,232,173.1,hp,kw,815F Series 2,113386,Engine
Gross Power,253,188.7,hp,kw,815F Series 2,113386,Engine
Displacement,537,8.8,cu in,L,815F Series 2,113386,Engine
Torque Rise,30,30,%,%,815F Series 2,113386,Engine
Bore,4.4,111.8,in,mm,815F Series 2,113386,Engine
Stroke,5.9,149.9,in,mm,815F Series 2,113386,Engine
Engine Model,Cat C9 ACERT,Cat C9 ACERT,,,815F Series 2,113386,Engine
Eec 80/1269,235,175.3,hp,kw,815F Series 2,113386,Engine
Sae J1349,232,173.1,hp,kw,815F Series 2,113386,Engine
Iso 3046-2,232,173.1,hp,kw,815F Series 2,113386,Engine
Iso 9249,235,175.3,hp,kw,815F Series 2,113386,Engine
Operating Weight,45765,20758.7,lb,kg,815F Series 2,113386,Operational
Forward - 1,3.9,6.3,mph,km/h,815F Series 2,113386,Transmission
Forward - 2,6.7,10.8,mph,km/h,815F Series 2,113386,Transmission
Forward - 3,11,17.8,mph,km/h,815F Series 2,113386,Transmission
Reverse - 1,4.4,7.1,mph,km/h,815F Series 2,113386,Transmission
Reverse - 2,7.6,12.3,mph,km/h,815F Series 2,113386,Transmission
Reverse - 3,12.2,19.7,mph,km/h,815F Series 2,113386,Transmission
Tips Per Row,12,12,,,815F Series 2,113386,Wheels
Outside Diameter,4.7,1.5,ft in,m,815F Series 2,113386,Wheels
Drum Diameter,3.4,1.1,ft in,m,815F Series 2,113386,Wheels
Drum Width,3.3,1,ft in,m,815F Series 2,113386,Wheels
Tips Per Wheel,60,60,,,815F Series 2,113386,Wheels
Relief Valve Setting,2255 psi,2255 psi,,,815F Series 2,113386,Hydraulic System
Front,Fixed,Fixed,,,815F Series 2,113386,Axles
Rear,Oscillating 12 degrees,Oscillating 12 degrees,,,815F Series 2,113386,Axles
Lift Cylinder Bore X Stroke,101.6 mm x 627 mm   3.99 in x 24.68 in,101.6 mm x 627 mm   3.99 in x 24.68 in,,,815F Series 2,113386,Hydraulic System
Tilt Cylinder Bore X Stroke (Option),101.6 mm x 167 mm   3.99 in x 6.6 in,101.6 mm x 167 mm   3.99 in x 6.6 in,,,815F Series 2,113386,Hydraulic System
Standards,Meet OSHA regulations,Meet OSHA regulations,,,815F Series 2,113386,Brakes
Cooling System,14.5,54.9,gal,L,815F Series 2,113386,Service Refill Capacities
Fuel Tank,117.8,446,gal,L,815F Series 2,113386,Service Refill Capacities
Crankcase,9,34.1,gal,L,815F Series 2,113386,Service Refill Capacities
Hydraulic Tank,23.2,87.9,gal,L,815F Series 2,113386,Service Refill Capacities
Transmission,13.2,50,gal,L,815F Series 2,113386,Service Refill Capacities
Differential - Final Drives - Front,17.1,64.8,gal,L,815F Series 2,113386,Service Refill Capacities
Differential - Final Drives - Rear,17.1,64.8,gal,L,815F Series 2,113386,Service Refill Capacities
Rops/Fops,Meet SAE and ISO standards,Meet SAE and ISO standards,,,815F Series 2,113386,Cab
Standards,Meet required sound standards,Meet required sound standards,,,815F Series 2,113386,Sound Performance
Blade Tip Angle - Total,59.2,59.2,degrees,degrees,815F Series 2,113386,Blades
Blade Tilt Angle - Right - Mechanical,6.5,6.5,degrees,degrees,815F Series 2,113386,Blades
Blade Tilt Angle - Left - Mechanical,5,5,degrees,degrees,815F Series 2,113386,Blades
Moldboard - Length,12,3.7,ft in,m,815F Series 2,113386,Blades
Height - Including Cutting Edge,2.9,0.9,ft in,m,815F Series 2,113386,Blades
Maximum Depth Of Cut,0.8,0.3,ft in,m,815F Series 2,113386,Blades
Maximum Lift Above Ground,2.7,0.9,ft in,m,815F Series 2,113386,Blades
Width - Over End Bits,12.3,3.8,ft in,m,815F Series 2,113386,Blades
Weight,44853,20345,lb,kg,815F Series 2,113386,Shipping Specifications
Height,11,3.4,ft in,m,815F Series 2,113386,Shipping Specifications
Width,12,3.7,ft in,m,815F Series 2,113386,Shipping Specifications
Depth,22.5,6.9,ft in,m,815F Series 2,113386,Shipping Specifications
Net Power,248,185,hp,kw,815K,113387,Engine
Displacement,427.8,7.1,cu in,L,815K,113387,Engine
Bore,4.1,104.2,in,mm,815K,113387,Engine
Stroke,5.3,134.7,in,mm,815K,113387,Engine
Emissions,Meets U.S. EPA Tier 4 Final/EU Stage IV emission standards or meets U.S. EPA Tier 3/EU Stage IIIA equivalent emission standards,Meets U.S. EPA Tier 4 Final/EU Stage IV emission standards or meets U.S. EPA Tier 3/EU Stage IIIA equivalent emission standards,,,815K,113387,Engine
Engine Model,Cat C7.1 ACERT: configured for two emissions options,Cat C7.1 ACERT: configured for two emissions options,,,815K,113387,Engine
Rated Power (Sae J1349) - Tier 4 Final/Stage Iv,248,185,hp,kw,815K,113387,Engine
Rated Power (Net Iso 9249) - Tier 4 Final/Stage Iv,248,185,hp,kw,815K,113387,Engine
Gross Power - Sae J1995 - Tier 3/Stage Iiia Equivalent,286,213.3,hp,kw,815K,113387,Engine
Rated Power (Net Iso 9249) - Tier 3/Stage Iiia Equivalent,249,185.7,hp,kw,815K,113387,Engine
"Maximum Net Torque - 1,400 Rpm - Tier 4 Final/Stage Iv",899,1218.9,lb ft,Nm,815K,113387,Engine
Rated Power (Sae J1349) - Tier 3/Stage Iiia Equivalent,249,185.7,hp,kw,815K,113387,Engine
Gross Power - Sae J1995 - Tier 4 Final/Stage Iv,284,211.8,hp,kw,815K,113387,Engine
Gross Power - Iso 14396 - Tier 4 Final/Stage Iv,274,204.4,hp,kw,815K,113387,Engine
High Idle Speed,2270,2270,rpm,rpm,815K,113387,Engine
Low Idle Speed,800,800,rpm,rpm,815K,113387,Engine
Torque Rise - Tier 4 Final/Stage Iv,52%,52%,,,815K,113387,Engine
Gross Power - Iso 14396 - Tier 3/Stage Iiia Equivalent,275,205.1,hp,kw,815K,113387,Engine
Torque Rise - Tier 3/Stage Iiia Equivalent,26%,26%,,,815K,113387,Engine
"Maximum Net Torque - 1,400 Rpm - Tier 3/Stage Iiia Equivalent",749,1015.6,lb ft,Nm,815K,113387,Engine
Maximum Altitude - Without Derating,9842.6,3000.1,ft in,m,815K,113387,Engine
Operating Weight,49353,22386.2,lb,kg,815K,113387,Operational
Transmission Type,Planetary  Powershift  ECPC,Planetary  Powershift  ECPC,,,815K,113387,Transmission
Travel Speeds - Forward - First,4.2,6.8,mph,km/h,815K,113387,Transmission
Travel Speeds - Forward - Second,7.5,12.1,mph,km/h,815K,113387,Transmission
Travel Speeds - Reverse - First,4.8,7.8,mph,km/h,815K,113387,Transmission
Travel Speeds - Reverse - Second,8.5,13.7,mph,km/h,815K,113387,Transmission
Travel Speeds - Forward - Third,13.2,21.3,mph,km/h,815K,113387,Transmission
Travel Speeds - Reverse - Third,15,24.2,mph,km/h,815K,113387,Transmission
Outside Diameter,4.7,1.5,ft in,m,815K,113387,Wheels
Drum Diameter,3.4,1.1,ft in,m,815K,113387,Wheels
Drum Width,3.3,1,ft in,m,815K,113387,Wheels
Tips Per Wheel,60,60,,,815K,113387,Wheels
Weight,9720,4409,lb,kg,815K,113387,Wheels
Width - Over Drums,10.7,3.3,ft in,m,815K,113387,Wheels
Front,Planetary  Fixed,Planetary  Fixed,,,815K,113387,Axles
Rear,Planetary  Oscillating,Planetary  Oscillating,,,815K,113387,Axles
Oscillation Angle,10 degrees,10 degrees,,,815K,113387,Axles
Maximum Supply Pressure,2930 psi,2930 psi,,,815K,113387,Hydraulic System
Main Relief Pressure,3190 psi,3190 psi,,,815K,113387,Hydraulic System
"Pump Flow At 2,111 Rpm",23.5 gal/min,23.5 gal/min,,,815K,113387,Hydraulic System
"Lift Cylinder, Double Acting - Bore And Stroke",101.6 mm  627 mm (4 in  24.7 in),101.6 mm  627 mm (4 in  24.7 in),,,815K,113387,Hydraulic System
"Tilt Cylinder, Double Acting - Bore And Stroke",101.6 mm  167 mm (4 in  6.6 in),101.6 mm  167 mm (4 in  6.6 in),,,815K,113387,Hydraulic System
Parking Brake,"Drum and Shoe, Spring Applied, Hydraulic Released","Drum and Shoe, Spring Applied, Hydraulic Released",,,815K,113387,Brakes
Fuel Tank,132.1,500.1,gal,L,815K,113387,Service Refill Capacities
Engine Crankcase,5.3,20.1,gal,L,815K,113387,Service Refill Capacities
Transmission,14.8,56.1,gal,L,815K,113387,Service Refill Capacities
Differential - Final Drives - Front,17.2,65.2,gal,L,815K,113387,Service Refill Capacities
Differential - Final Drives - Rear,17.2,65.2,gal,L,815K,113387,Service Refill Capacities
Note,"All non-road Tier 4 Final and Stage IV diesel engines are required to use:  Ultra Low Sulfur Diesel (ULSD) fuels containing 15 ppm for EPA and 10 ppm for EU (mg/kg) sulfur or less. Biodiesel blends up to B20 are acceptable when blended with 15 ppm for EPA and 10 ppm for EU (mg/kg) sulfur or less ULSD and when the biodiesel feedstock meets ASTM D7467 specifications.  Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specifications are required.  Diesel Exhaust Fluid (DEF) that meets all requirements defined in ISO 22241-1.","All non-road Tier 4 Final and Stage IV diesel engines are required to use:  Ultra Low Sulfur Diesel (ULSD) fuels containing 15 ppm for EPA and 10 ppm for EU (mg/kg) sulfur or less. Biodiesel blends up to B20 are acceptable when blended with 15 ppm for EPA and 10 ppm for EU (mg/kg) sulfur or less ULSD and when the biodiesel feedstock meets ASTM D7467 specifications.  Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specifications are required.  Diesel Exhaust Fluid (DEF) that meets all requirements defined in ISO 22241-1.",,,815K,113387,Service Refill Capacities
Cooling System - Tier 4 Final/Stage Iv,21.4,81.1,gal,L,815K,113387,Service Refill Capacities
Diesel Exhaust Fluid Tank (Tier 4 Final/Stage Iv Only),4.2,15.9,gal,L,815K,113387,Service Refill Capacities
Hydraulic Tank Only,19.8,75,gal,L,815K,113387,Service Refill Capacities
Cooling System - Tier 3/Stage Iiia Equivalent,19.3,73.1,gal,L,815K,113387,Service Refill Capacities
Steering System - Circuit,Closed Center Load Sensing,Closed Center Load Sensing,,,815K,113387,Hydraulic System - Steering
Steering System - Pump,Piston  Variable Displacement,Piston  Variable Displacement,,,815K,113387,Hydraulic System - Steering
Steering Pressure Limited,4003 psi,4003 psi,,,815K,113387,Hydraulic System - Steering
Bore,4,101.6,in,mm,815K,113387,Hydraulic System - Steering
Stroke,23.5,596.9,in,mm,815K,113387,Hydraulic System - Steering
Maximum System Flow,"147 L/min @ 2,111 rpm (38.8 gal/min @ 2,111 rpm)","147 L/min @ 2,111 rpm (38.8 gal/min @ 2,111 rpm)",,,815K,113387,Hydraulic System - Steering
Vehicle Articulation Angle,84 degrees,84 degrees,,,815K,113387,Hydraulic System - Steering
Height - Including Cutting Edge,2.9,0.9,ft in,m,815K,113387,Blades
Maximum Depth Of Cut,0.8,0.3,ft in,m,815K,113387,Blades
Maximum Lift Above Ground,2.7,0.9,ft in,m,815K,113387,Blades
Width - Over End Bits,12.4,3.8,ft in,m,815K,113387,Blades
Blade Tilt Angle - Right - Hydraulic,4.8 degrees,4.8 degrees,,,815K,113387,Blades
Blade Tilt Angle - Left - Hydraulic,5.5 degrees,5.5 degrees,,,815K,113387,Blades
Blade Tilt Adjustment - Right,1,0.4,ft in,m,815K,113387,Blades
Blade Tilt Adjustment - Left,1.2,0.4,ft in,m,815K,113387,Blades
Total Tilt Adjustment,2.2,0.7,ft in,m,815K,113387,Blades
Width - Moldboard Length,12,3.7,ft in,m,815K,113387,Blades
Machine Sound Level (Iso 6395) Tier 3/Stage Iiia Equivalent,112 dB(A),112 dB(A),,,815K,113387,Cab - Standard
Operator Sound Level - Iso 6396,71 dB(A),71 dB(A),,,815K,113387,Cab - Standard
Machine Sound Level (Iso 6395) Tier 4/Stage Iv,111 dB(A),111 dB(A),,,815K,113387,Cab - Standard
Operator Sound Level - Iso 6396,70 dB(A),70 dB(A),,,815K,113387,Cab - Suppression
Machine Sound Level (Iso 6395) Tier 4/Stage Iv,109 dB(A),109 dB(A),,,815K,113387,Cab - Suppression
Machine Sound Level (Iso 6395) Tier 3/Stage Iiia Equivalent,110 dB(A),110 dB(A),,,815K,113387,Cab - Suppression
Gross Power,340,253.6,hp,kw,826G,113389,Engine
Displacement,891,14.7,cu in,L,826G,113389,Engine
Engine Model,Cat 3406C TA,Cat 3406C TA,,,826G,113389,Engine
Flywheel Power,315,234.9,hp,kw,826G,113389,Engine
Operating Weight,76805,34838.2,lb,kg,826G,113389,Operational
Forward - 1,3.9,6.3,mph,km/h,826G,113389,Transmission
Forward - 2,7,11.3,mph,km/h,826G,113389,Transmission
Reverse - 1,4.7,7.6,mph,km/h,826G,113389,Transmission
Reverse - 2,8.4,13.6,mph,km/h,826G,113389,Transmission
Front,Fixed,Fixed,,,826G,113389,Axles
Oscillating Rear,Oscillating,Oscillating,,,826G,113389,Axles
Cooling System,21.4,81.1,gal,L,826G,113389,Service Refill Capacities
Fuel Tank,166.5,630.3,gal,L,826G,113389,Service Refill Capacities
Crankcase,9,34.1,gal,L,826G,113389,Service Refill Capacities
Hydraulic Tank,23.3,88.3,gal,L,826G,113389,Service Refill Capacities
Transmission,16.4,62.1,gal,L,826G,113389,Service Refill Capacities
Differential - Final Drives - Front,23.8,90.1,gal,L,826G,113389,Service Refill Capacities
Differential - Final Drives - Rear,23.8,90.1,gal,L,826G,113389,Service Refill Capacities
Height,6.3,2,ft in,m,826G,113389,Straight Blade
Moldboard - Length,14.8,4.6,ft in,m,826G,113389,Straight Blade
Lift Speed At Rated Rpm,1.4 ft/s,1.4 ft/s,,,826G,113389,Straight Blade
"End Bits (2), Self-Sharpening, Length - Each",18.6,472.5,in,mm,826G,113389,Straight Blade
"Cutting Edges (2), Reversible, End Section Length (Each)",5.8,1.8,ft in,m,826G,113389,Straight Blade
Gross Power,284,211.8,hp,kw,816K,113390,Engine
Net Power,248,185,hp,kw,816K,113390,Engine
Displacement,427.8,7.1,cu in,L,816K,113390,Engine
Torque Rise,52,52,%,%,816K,113390,Engine
Bore,4.1,104.2,in,mm,816K,113390,Engine
Stroke,5.3,134.7,in,mm,816K,113390,Engine
Emissions,Meets U.S. EPA Tier 4 Final/EU Stage IV emission standards or meets U.S. EPA Tier 3/EU Stage IIIA equivalent emission standards,Meets U.S. EPA Tier 4 Final/EU Stage IV emission standards or meets U.S. EPA Tier 3/EU Stage IIIA equivalent emission standards,,,816K,113390,Engine
Engine Model,Cat C7.1 ACERT: configured for two emissions options,Cat C7.1 ACERT: configured for two emissions options,,,816K,113390,Engine
Rated Power (Sae J1349) - Tier 4 Final/Stage Iv,248,185,hp,kw,816K,113390,Engine
Rated Power (Net Iso 9249) - Tier 4 Final/Stage Iv,248,185,hp,kw,816K,113390,Engine
Gross Power - Sae J1995 - Tier 3/Stage Iiia Equivalent,286,213.3,hp,kw,816K,113390,Engine
Rated Power (Net Iso 9249) - Tier 3/Stage Iiia Equivalent,249,185.7,hp,kw,816K,113390,Engine
"Maximum Net Torque - 1,400 Rpm - Tier 4 Final/Stage Iv",899,1218.9,lb ft,Nm,816K,113390,Engine
Rated Power (Sae J1349) - Tier 3/Stage Iiia Equivalent,249,185.7,hp,kw,816K,113390,Engine
Gross Power - Sae J1995 - Tier 4 Final/Stage Iv,284,211.8,hp,kw,816K,113390,Engine
Gross Power - Iso 14396 - Tier 4 Final/Stage Iv,274,204.4,hp,kw,816K,113390,Engine
High Idle Speed,2270,2270,rpm,rpm,816K,113390,Engine
Low Idle Speed,800,800,rpm,rpm,816K,113390,Engine
Gross Power - Iso 14396 - Tier 3/Stage Iiia Equivalent,275,205.1,hp,kw,816K,113390,Engine
"Maximum Net Torque - 1,400 Rpm - Tier 3/Stage Iiia Equivalent",749,1015.6,lb ft,Nm,816K,113390,Engine
Maximum Altitude - Without Derating,9842.6,3000.1,ft in,m,816K,113390,Engine
Operating Weight,56899,25809,lb,kg,816K,113390,Operational
Transmission Type,Planetary  Powershift  ECPC,Planetary  Powershift  ECPC,,,816K,113390,Transmission
Travel Speeds - Forward - First,3.8,6.2,mph,km/h,816K,113390,Transmission
Travel Speeds - Forward - Second,6.8,11,mph,km/h,816K,113390,Transmission
Travel Speeds - Reverse - First,4.3,7,mph,km/h,816K,113390,Transmission
Travel Speeds - Reverse - Second,7.8,12.6,mph,km/h,816K,113390,Transmission
Paddle Tips - Weight (Group),13126,5953.9,lb,kg,816K,113390,Wheels
Paddle Tips - Outside Diameter,67.6,1717.1,in,mm,816K,113390,Wheels
Paddle Tips - Drum Diameter,55.1,1399.6,in,mm,816K,113390,Wheels
Paddle Tips - Drum Width,40,1016,in,mm,816K,113390,Wheels
Paddle Tips - Tips Per Row,5,5,,,816K,113390,Wheels
Paddle Tips - Tips Per Wheel,20,20,,,816K,113390,Wheels
Paddle Tips - Replaceable,Welded,Welded,,,816K,113390,Wheels
Paddle Tips - Width Over Drums,131.4,3337.6,in,mm,816K,113390,Wheels
Paddle Tips - Tip Height,6.3,158.8,in,mm,816K,113390,Wheels
Plus Tips - Weight (Group),13982,6342.2,lb,kg,816K,113390,Wheels
Plus Tips - Outside Diameter,67.6,1717.1,in,mm,816K,113390,Wheels
Plus Tips - Drum Diameter,55.1,1399.6,in,mm,816K,113390,Wheels
Plus Tips - Drum Width,40,1016,in,mm,816K,113390,Wheels
Plus Tips - Tips Per Row,5,5,,,816K,113390,Wheels
Plus Tips - Tips Per Wheel,20,20,,,816K,113390,Wheels
Plus Tips - Replaceable,Welded,Welded,,,816K,113390,Wheels
Plus Tips - Width Over Drums,131.4,3337.6,in,mm,816K,113390,Wheels
Plus Tips - Tip Height,6.3,158.8,in,mm,816K,113390,Wheels
Combo Wheels - Weight (Group),13554,6148,lb,kg,816K,113390,Wheels
Combo Wheels - Outside Diameter,67.6,1717.1,in,mm,816K,113390,Wheels
Combo Wheels - Drum Diameter,55.1,1399.6,in,mm,816K,113390,Wheels
Combo Wheels - Drum Width,40,1016,in,mm,816K,113390,Wheels
Combo Wheels - Tips Per Row,5,5,,,816K,113390,Wheels
Combo Wheels - Tips Per Wheel,20,20,,,816K,113390,Wheels
Combo Wheels - Replaceable,Welded,Welded,,,816K,113390,Wheels
Combo Wheels - Width Over Drums,131.4,3337.6,in,mm,816K,113390,Wheels
Combo Wheels - Tip Height,6.3,158.8,in,mm,816K,113390,Wheels
Front,Planetary  Fixed,Planetary  Fixed,,,816K,113390,Axles
Rear,Planetary  Oscillating,Planetary  Oscillating,,,816K,113390,Axles
Oscillation Angle,6 degrees,6 degrees,,,816K,113390,Axles
Maximum Supply Pressure,2930 psi,2930 psi,,,816K,113390,Hydraulic System
Main Relief Pressure,3190 psi,3190 psi,,,816K,113390,Hydraulic System
"Pump Flow At 2,111 Rpm",23.5 gal/min,23.5 gal/min,,,816K,113390,Hydraulic System
"Cylinders, Double Acting - Lift, Bore And Stroke",120 mm  915 mm (4.7 in  36.0 in),120 mm  915 mm (4.7 in  36.0 in),,,816K,113390,Hydraulic System
Parking Brake,"Drum and Shoe, Spring Applied, Hydraulic Released","Drum and Shoe, Spring Applied, Hydraulic Released",,,816K,113390,Brakes
Fuel Tank,132.1,500.1,gal,L,816K,113390,Service Refill Capacities
Engine Crankcase,5.3,20,gal,L,816K,113390,Service Refill Capacities
Transmission,14.8,56.1,gal,L,816K,113390,Service Refill Capacities
Differential - Final Drives - Front,11.4,43.2,gal,L,816K,113390,Service Refill Capacities
Differential - Final Drives - Rear,11.4,43.2,gal,L,816K,113390,Service Refill Capacities
Note,"All non-road Tier 4 Final and Stage IV diesel engines are required to use:  Ultra Low Sulfur Diesel (ULSD) fuels containing 15 ppm for the EPA, 10 ppm for the EU (mg/kg) sulfur or less. Biodiesel blends up to B20 are acceptable when blended with 15 ppm (mg/kg) sulfur or less ULSD and when the biodiesel feedstock meets ASTM D7467 specifications.  Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specifications are required.  Diesel Exhaust Fluid (DEF) that meets all requirements defined in ISO 22241-1.","All non-road Tier 4 Final and Stage IV diesel engines are required to use:  Ultra Low Sulfur Diesel (ULSD) fuels containing 15 ppm for the EPA, 10 ppm for the EU (mg/kg) sulfur or less. Biodiesel blends up to B20 are acceptable when blended with 15 ppm (mg/kg) sulfur or less ULSD and when the biodiesel feedstock meets ASTM D7467 specifications.  Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specifications are required.  Diesel Exhaust Fluid (DEF) that meets all requirements defined in ISO 22241-1.",,,816K,113390,Service Refill Capacities
Cooling System - Tier 4 Final/Stage Iv,21.4,81.1,gal,L,816K,113390,Service Refill Capacities
Diesel Exhaust Fluid Tank (Tier 4 Final/Stage Iv Only),4.2,15.9,gal,L,816K,113390,Service Refill Capacities
Hydraulic Tank Only,19.8,75,gal,L,816K,113390,Service Refill Capacities
Cooling System - Tier 3/Stage Iiia Equivalent,19.3,73.1,gal,L,816K,113390,Service Refill Capacities
Steering System - Circuit,Closed Center Load Sensing,Closed Center Load Sensing,,,816K,113390,Hydraulic System - Steering
Steering System - Pump,Piston  Variable Displacement,Piston  Variable Displacement,,,816K,113390,Hydraulic System - Steering
Steering Pressure Limited,4003 psi,4003 psi,,,816K,113390,Hydraulic System - Steering
Bore,4,101.6,in,mm,816K,113390,Hydraulic System - Steering
Stroke,23.5,596.9,in,mm,816K,113390,Hydraulic System - Steering
Maximum System Flow,"147 L/min @ 2,111 rpm (38.8 gal/min @ 2,111 rpm)","147 L/min @ 2,111 rpm (38.8 gal/min @ 2,111 rpm)",,,816K,113390,Hydraulic System - Steering
Vehicle Articulation Angle,84  degrees,84  degrees,,,816K,113390,Hydraulic System - Steering
Maximum Depth Of Cut,1.2,0.4,ft in,m,816K,113390,Blades
Maximum Lift Above Ground,3.7,1.2,ft in,m,816K,113390,Blades
Width - Over End Bits,12,3.7,ft in,m,816K,113390,Blades
Width - Moldboard Length,11.8,3.6,ft in,m,816K,113390,Blades
Height - Including Cutting Edge And Screen,6.4,2,ft in,m,816K,113390,Blades
Machine Sound Level (Iso 6395) Tier 3/Stage Iiia Equivalent,112 dB(A),112 dB(A),,,816K,113390,Cab - Standard
Operator Sound Level - Iso 6396,71 dB(A),71 dB(A),,,816K,113390,Cab - Standard
Machine Sound Level (Iso 6395) Tier 4 Final/Stage Iv,111 dB(A),111 dB(A),,,816K,113390,Cab - Standard
Operator Sound Level - Iso 6396,70 dB(A),70 dB(A),,,816K,113390,Cab - Suppression
Machine Sound Level (Iso 6395) Tier 3/Stage Iiia Equivalent,110 dB(A),110 dB(A),,,816K,113390,Cab - Suppression
Machine Sound Level (Iso 6395) Tier 4 Final/Stage Iv,109 dB(A),109 dB(A),,,816K,113390,Cab - Suppression
Gross Power,380,283.4,hp,kw,826G Series II,113391,Engine
Displacement,893,14.7,cu in,L,826G Series II,113391,Engine
Torque Rise,28,28,%,%,826G Series II,113391,Engine
Bore,5.4,137.2,in,mm,826G Series II,113391,Engine
Stroke,6.5,165.1,in,mm,826G Series II,113391,Engine
Net Power - Iso 9249,340,253.6,hp,kw,826G Series II,113391,Engine
Engine Model,Cat 3406E ATAAC Diesel,Cat 3406E ATAAC Diesel,,,826G Series II,113391,Engine
Flywheel Power,340,253.6,hp,kw,826G Series II,113391,Engine
Eec 80/1269,340,253.6,hp,kw,826G Series II,113391,Engine
"Peak Torque - 1,200 Rpm - Net",1232.5,1671.1,lb ft,Nm,826G Series II,113391,Engine
Sae J1349,340,253.6,hp,kw,826G Series II,113391,Engine
Net Power Iso 3046-2,340,253.6,hp,kw,826G Series II,113391,Engine
Din 70020,327 PS,327 PS,,,826G Series II,113391,Engine
Operating Weight,81498,36966.9,lb,kg,826G Series II,113391,Operational
Forward - 1,3.6,5.8,mph,km/h,826G Series II,113391,Transmission
Forward - 2,6,9.7,mph,km/h,826G Series II,113391,Transmission
